"ID","Notice ID","Title","Department","Sub_tier","Office","Type","Response Deadline","Naics Code","Link","Description"
"19","d3852f5948d94cae91de2268b5143ee1","CONDUIT CABLE ASSEMBLY","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVSUP FLT LOG CTR PUGET SOUND","Solicitation","2020-10-23T12:00:00-07:00","333249","https://beta.sam.gov/opp/d3852f5948d94cae91de2268b5143ee1/view","SEE ATTACHED SOLICITATION FOR REQUIREMENT DETAILS. This acquisition is a TOTAL SMALL BUSINESS SET ASIDE. SOLICITATION FORM NEEDS TO BE FILLED IN, SIGNED, AND SENT IN WITH QUOTE TO BE CONSIDERED. DRAWING AVAILABLE UPON REQUEST."
"29","2c03058cf356458eab6b4dfb29763079","WEDGE","DEPT OF DEFENSE","DEFENSE LOGISTICS AGENCY (DLA)","DLA MARITIME - PUGET SOUND","Solicitation","2020-10-23T11:00:00-07:00","332216","https://beta.sam.gov/opp/2c03058cf356458eab6b4dfb29763079/view","Attached is a solicitation. If you are able to quote please be sure to: 1. Read box 28 and sign page 1 boxes 30 a, b, and c. 2. Provide your cage code or duns number and annotate whether or not your SAM registration is current and up to date. 3. Please quo"
"31","8d5cc1a0032d4c37b52573e108ab4ef3","FY21 Bldg 2451 Asbestos Abatement","DEPT OF DEFENSE","DEPT OF THE AIR FORCE","FA4620  92 CONS LGC","Solicitation","2020-10-23T13:00:00-07:00","562910","https://beta.sam.gov/opp/8d5cc1a0032d4c37b52573e108ab4ef3/view","The Contractor shall complete all work, which includes furnishing all supervision, labor, material, equipment for clean-up and removal of asbestos containing material (ACM) in building 2451, Suite 310 on Fairchild AFB, WA IAW the attached SOW."
"33","08e120609a5e4c548a0ded6b4a4b9e63","CVD (Lake Mendocino) Janitorial Service","DEPT OF DEFENSE","DEPT OF THE ARMY","W075 ENDIST SAN FRAN","Combined Synopsis/Solicitation","2020-10-23T15:00:00-07:00","561720","https://beta.sam.gov/opp/08e120609a5e4c548a0ded6b4a4b9e63/view","NOTE: Amendment 2 - Post"
"44","edd4611d4ed14c548d8d8b1b6d46d196","Lower Radar Cross Section Mast (LRCSM) Machined Parts","DEPT OF DEFENSE","DEPT OF THE NAVY","NUWC DIV NEWPORT","Solicitation","2020-10-23T14:00:00-04:00","334511","https://beta.sam.gov/opp/edd4611d4ed14c548d8d8b1b6d46d196/view","The Naval Undersea Warfare Center Division, Newport (NUWCDIVNPT) intends to purchase,"
"74","c3c64df7d10849499212abbad4ae9fa5","Operation & Maintenance Svcs, Defense Logistics Agency, Defense Distribution Depot Center, San Diego, California","DEPT OF DEFENSE","DEPT OF THE ARMY","W075 ENDIST LOS ANGELES","Solicitation","2020-10-23T13:00:00-04:00","561210","https://beta.sam.gov/opp/c3c64df7d10849499212abbad4ae9fa5/view","10-16-2020 Amendment 0001 - Bid Opening Date extended to Oct 30th."
"77","c9895aa8f64b407cbd89eeb61bff7fc9","Bottled Water and Dispenser Service","ENERGY, DEPARTMENT OF","ENERGY, DEPARTMENT OF","NATIONAL ENERGY TECHNOLOGY LABORATORY","Solicitation","2020-10-23T14:00:00-04:00","454390","https://beta.sam.gov/opp/c9895aa8f64b407cbd89eeb61bff7fc9/view","Amendment 0001:"
"87","3f7efcaac348481b92e9a26fcfa99aea","Garbage pickup and disposal","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","GREAT PLAINS AREA INDIAN HEALTH SVC","Combined Synopsis/Solicitation","2020-10-23T12:00:00-05:00","562111","https://beta.sam.gov/opp/3f7efcaac348481b92e9a26fcfa99aea/view","Buy Indian Set Aside Garbage pickup and disposal services at the Belcourt IHS Healthcare Facility in Belcourt, North Daktoa 58316. See Attachments"
"91","61b3626731314c16b4c3859e7a5a0cad","JHSV Surveillance System - GD-MS","DEPT OF DEFENSE","DEPT OF THE NAVY","MSC NORFOLK","Combined Synopsis/Solicitation","2020-10-23T10:00:00-04:00","811310","https://beta.sam.gov/opp/61b3626731314c16b4c3859e7a5a0cad/view","The Contractor shall furnish labor required to inspect, troubleshoot, repair, and test subcomponents of the JHSV Interior Voice Communication System (JIVCS), JHSV Remote Surveillance System (JRSS), JHSV Entertainment and Training System (JETS)."
"93","af1a2f979fe248e7a1ca9773e60a22f7","HELO AMU/MX/Alert Shelter/Ops Facility, Minot Air Force Base (AFB), North Dakota","DEPT OF DEFENSE","DEPT OF THE ARMY","W071 ENDIST OMAHA","Solicitation","2020-10-23T14:00:00-06:00","236220","https://beta.sam.gov/opp/af1a2f979fe248e7a1ca9773e60a22f7/view","HELO AMU/MX/Alert Shelter/Ops Facility, Minot Air Force Base (AFB), North Dakota Amendment 0001, does not extend the proposal receipt date of 10 AUG."
"104","b56e0e5f254d494ebf536e2fbc6940f5","FY2021 RDT&E Super Dialer Prototype Development","DEPT OF DEFENSE","DEPT OF THE NAVY","NAVAL FACILITIES ENGINEERING AND","Combined Synopsis/Solicitation","2020-10-23T23:59:00-07:00","541715","https://beta.sam.gov/opp/b56e0e5f254d494ebf536e2fbc6940f5/view","16 Oct 2020: Question and Answers published as an attachment. This announcement constitutes a Broad Agency Announcement (BAA) for the Naval Facilities Engineering and Expeditionary Warfare Center (NEXWC) under FAR 6.102(d)(2) and 35.106. FAR Part 35 restri"
"210","b5df825e60d94fb7a085c72d8f40f233","Lodging and Meals in Columbus, Ohio","DEPT OF DEFENSE","DEPT OF THE ARMY","W6QK ACC-PICA","Sources Sought","2020-10-23T15:00:00-04:00","721110","https://beta.sam.gov/opp/b5df825e60d94fb7a085c72d8f40f233/view","THIS IS A SOURCES SOUGHT AND NOT A FORMAL SOLICITATION. 1. For a lodging requirement in Columbus, Ohio. The period of performance is from 11 December 2020 through 14"
